samples,acc,prec,rec,threshold
172270,0.655,0.655,1.0,0.0
173270,0.659,0.659,1.0,0.0
174270,0.659,0.659,1.0,0.0
175270,0.67,0.6696696696696697,1.0,0.0
176270,0.659,0.6586586586586587,1.0,0.0
177270,0.681,0.6771255060728745,1.0,0.0
178270,0.676,0.6727272727272727,1.0,0.0
179270,0.772,0.7694641051567239,1.0,0.0
180270,0.668,0.6619144602851323,1.0,0.0
181270,0.689,0.686491935483871,1.0,0.0
182270,0.675,0.6740442655935613,0.9985096870342772,0.0
183270,0.68,0.6796796796796797,1.0,0.0
184270,0.658,0.658,1.0,0.0
185270,0.617,0.6166166166166166,1.0,0.0
186270,0.665,0.6643286573146293,1.0,0.0
187270,0.667,0.6663316582914572,0.9984939759036144,0.0
188270,0.66,0.6596596596596597,1.0,0.0
189270,0.65,0.6496496496496497,1.0,0.0
190270,0.7,0.6990972918756269,1.0,0.0
191270,0.703,0.7024048096192385,1.0,0.0
192270,0.795,0.794383149448345,1.0,0.0
193270,0.747,0.7457286432160805,1.0,0.0
194270,0.713,0.7115577889447237,1.0,0.0
195270,0.66,0.6589769307923772,1.0,0.0
196270,0.706,0.704225352112676,1.0,0.0
197270,0.766,0.7645875251509054,1.0,0.0
198270,0.989,0.989,1.0,0.0
199270,0.993,0.993,1.0,0.0
200270,0.866,0.8655967903711134,1.0,0.0
201270,0.83,0.8293172690763052,1.0,0.0
202270,0.713,0.7106854838709677,1.0,0.0
203270,0.714,0.7116935483870968,1.0,0.0
204270,0.737,0.7354124748490946,1.0,0.0
205270,0.659,0.6579739217652959,1.0,0.0
206270,0.665,0.6636546184738956,1.0,0.0
207270,0.633,0.630784708249497,1.0,0.0
208270,0.812,0.8114343029087262,1.0,0.0
209270,0.768,0.7673019057171514,1.0,0.0
210270,0.703,0.7012072434607646,1.0,0.0
211270,0.727,0.7242424242424242,1.0,0.0
212270,0.721,0.7186234817813765,0.9985935302390999,0.0
213270,0.719,0.7175879396984924,1.0,0.0
214270,0.788,0.7862903225806451,1.0,0.0
