samples,acc,prec,rec,fpr,buckets
37270,0.357,0.0,0.0,0.0,6.0
38270,0.358,0.0,0.0,0.0,6.0
39270,0.38,0.0,0.0,0.0,6.0
40270,0.371,0.0,0.0,0.0,6.0
41270,0.369,0.0,0.0,0.0,6.0
42270,0.386,0.0,0.0,0.0,6.0
43270,0.354,0.0,0.0,0.0,6.0
44270,0.375,0.0,0.0,0.0,6.0
45270,0.379,0.0,0.0,0.0,6.0
46270,0.352,0.0,0.0,0.0,6.0
47270,0.36,0.0,0.0,0.0,6.0
48270,0.381,0.0,0.0,0.0,6.0
49270,0.358,0.0,0.0,0.0,6.0
