samples,acc,prec,rec,fpr
140270,0.874,0.9987654320987654,0.8661670235546038,0.015151515151515152
141270,0.98,0.9827586206896551,0.9956331877729258,0.19047619047619047
142270,0.983,0.9915254237288136,0.9904761904761905,0.14545454545454545
143270,0.98,0.9798515376458112,0.9989189189189189,0.25333333333333335
144270,0.978,0.9859002169197397,0.9901960784313726,0.15853658536585366
145270,0.976,0.9864712514092446,0.9864712514092446,0.10619469026548672
146270,0.979,0.9869565217391304,0.990185387131952,0.14457831325301204
147270,0.97,0.9868852459016394,0.9804560260586319,0.1518987341772152
148270,0.974,0.9867256637168141,0.9845474613686535,0.1276595744680851
149270,0.976,0.9936238044633369,0.9811122770199371,0.1276595744680851
150270,0.985,0.9879385964912281,0.9955801104972376,0.11578947368421053
151270,0.966,0.9902173913043478,0.9732905982905983,0.140625
152270,0.989,0.990228013029316,0.9978118161925602,0.10465116279069768
153270,0.972,0.9795221843003413,0.9885189437428243,0.13953488372093023
154270,0.921,0.94,0.966142684401451,0.2947976878612717
155270,0.864,0.8359788359788359,0.9168278529980658,0.19254658385093168
