samples,acc,prec,rec,fpr,hashf
23270,0.688,0.7512605042016807,0.7315875613747954,0.38046272493573263,1.0
24270,0.709,0.7103620474406991,0.9060509554140127,0.6236559139784946,1.0
25270,0.71,0.7029239766081872,0.9434850863422292,0.699724517906336,1.0
26270,0.691,0.8470824949698189,0.6437308868501529,0.21965317919075145,1.0
27270,0.694,0.6813725490196079,0.9235880398671097,0.6532663316582915,1.0
28270,0.72,0.7622047244094489,0.7895595432300163,0.39018087855297157,1.0
29270,0.687,0.6898148148148148,0.9297971918876755,0.7465181058495822,1.0
30270,0.734,0.7539473684210526,0.8788343558282209,0.5373563218390804,1.0
31270,0.668,0.7670549084858569,0.7059724349157733,0.4034582132564842,1.0
32270,0.704,0.8039927404718693,0.7020602218700476,0.2926829268292683,1.0
33270,0.644,0.6590330788804071,0.8547854785478548,0.6802030456852792,1.0
34270,0.717,0.7144549763033176,0.9348837209302325,0.6788732394366197,1.0
35270,0.578,0.83,0.40161290322580645,0.13421052631578947,1.0
36270,0.646,0.7712177121771218,0.6450617283950617,0.3522727272727273,1.0
37270,0.666,0.6648879402347919,0.968895800933126,0.8795518207282913,1.0
38270,0.67,0.6649048625792812,0.9797507788161994,0.8854748603351955,1.0
39270,0.704,0.7447129909365559,0.7951612903225806,0.44473684210526315,1.0
40270,0.476,0.8571428571428571,0.20031796502384738,0.05660377358490566,1.0
41270,0.649,0.7611940298507462,0.6465927099841522,0.34688346883468835,1.0
42270,0.683,0.780718336483932,0.6726384364820847,0.3005181347150259,1.0
43270,0.683,0.7387518142235123,0.7879256965944272,0.5084745762711864,1.0
44270,0.72,0.8063943161634103,0.7264,0.2906666666666667,1.0
45270,0.673,0.7905138339920948,0.644122383252818,0.2796833773087071,1.0
46270,0.649,0.7253414264036419,0.7376543209876543,0.5142045454545454,1.0
47270,0.577,0.8604651162790697,0.4046875,0.11666666666666667,1.0
48270,0.664,0.6807151979565773,0.8610662358642972,0.6561679790026247,1.0
49270,0.679,0.7820738137082601,0.6931464174454829,0.3463687150837989,1.0
50270,0.649,0.7885835095137421,0.5977564102564102,0.26595744680851063,1.0
51270,0.482,0.7837837837837838,0.23274478330658105,0.10610079575596817,1.0
52270,0.725,0.7418136020151134,0.8937784522003035,0.6011730205278593,1.0
53270,0.675,0.7457912457912458,0.7179902755267423,0.39425587467362927,1.0
54270,0.667,0.676056338028169,0.909952606635071,0.7520435967302452,1.0
55270,0.571,0.820855614973262,0.4588938714499253,0.20241691842900303,1.0
56270,0.658,0.6532608695652173,0.9631410256410257,0.848404255319149,1.0
57270,0.717,0.7507246376811594,0.8235294117647058,0.4636118598382749,1.0
58270,0.714,0.7526236881559221,0.8057784911717496,0.4376657824933687,1.0
59270,0.669,0.7515822784810127,0.7318952234206472,0.4472934472934473,1.0
60270,0.652,0.646551724137931,0.967741935483871,0.8631578947368421,1.0
61270,0.578,0.8556338028169014,0.3894230769230769,0.10904255319148937,1.0
62270,0.713,0.7991202346041055,0.7841726618705036,0.4491803278688525,1.0
63270,0.829,0.8503184713375797,0.9638989169675091,0.834319526627219,1.0
64270,0.861,0.9123414071510957,0.9262295081967213,0.5205479452054794,1.0
65270,0.825,0.8270980788675429,0.9951338199513382,0.9606741573033708,1.0
66270,0.702,0.8731707317073171,0.7093791281373845,0.32098765432098764,1.0
67270,0.786,0.7903055848261328,0.9803921568627451,0.8468085106382979,1.0
68270,0.634,0.9193857965451055,0.5965130759651308,0.2131979695431472,1.0
69270,0.671,0.8293918918918919,0.6828929068150209,0.3594306049822064,1.0
70270,0.736,0.9310897435897436,0.7244389027431422,0.21717171717171718,1.0
71270,0.756,0.9108469539375929,0.7691342534504392,0.2955665024630542,1.0
72270,0.731,0.721436343852013,0.9807692307692307,0.7901234567901234,1.0
73270,0.725,0.7243186582809225,0.9829302987197724,0.8855218855218855,1.0
74270,0.715,0.7834757834757835,0.8052708638360175,0.4794952681388013,1.0
75270,0.713,0.8555900621118012,0.7395973154362416,0.36470588235294116,1.0
76270,0.703,0.7032734952481521,0.9765395894428153,0.8836477987421384,1.0
77270,0.535,0.7261146496815286,0.3756177924217463,0.21882951653944022,1.0
78270,0.775,0.7814407814407814,0.9329446064139941,0.5700636942675159,1.0
79270,0.729,0.8395604395604396,0.6586206896551724,0.1738095238095238,1.0
80270,0.614,0.5927947598253275,0.9766187050359713,0.8400900900900901,1.0
81270,0.717,0.7945205479452054,0.5823293172690763,0.14940239043824702,1.0
82270,0.639,0.7222222222222222,0.5486238532110091,0.25274725274725274,1.0
83270,0.568,0.4993646759847522,0.9118329466357309,0.6924428822495606,1.0
84270,0.669,0.8714285714285714,0.3757700205338809,0.05263157894736842,1.0
85270,0.729,0.8168316831683168,0.41353383458646614,0.06156405990016639,1.0
86270,0.654,0.5380029806259314,0.9093198992443325,0.5140961857379768,1.0
87270,0.782,0.49411764705882355,0.1935483870967742,0.05491698595146871,1.0
88270,0.927,0.08,0.038461538461538464,0.024261603375527425,1.0
89270,0.856,0.48717948717948717,0.13286713286713286,0.023337222870478413,1.0
90270,0.853,0.5,0.02040816326530612,0.0035169988276670576,1.0
91270,0.81,0.5555555555555556,0.02617801047120419,0.004944375772558714,1.0
92270,0.801,0.3744493392070485,0.5985915492957746,0.1655011655011655,1.0
93270,0.789,0.5054945054945055,0.2169811320754717,0.05710659898477157,1.0
